date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
01-Aug-21,Tripura,4-Wheelers,0,462
01-Sep-21,Andaman & Nicobar Island,2-Wheelers,0,329
01-Sep-21,Andaman & Nicobar Island,4-Wheelers,0,87
01-Sep-21,Arunachal Pradesh,2-Wheelers,0,1260
01-Sep-21,Arunachal Pradesh,4-Wheelers,0,637
01-Sep-21,Assam,4-Wheelers,0,6036
01-Sep-21,DNH and DD,4-Wheelers,0,348
01-Sep-21,Ladakh,2-Wheelers,0,26
01-Sep-21,Ladakh,4-Wheelers,0,444
01-Sep-21,Manipur,2-Wheelers,0,3492
01-Sep-21,Manipur,4-Wheelers,0,1202
01-Sep-21,Meghalaya,2-Wheelers,0,1396
01-Sep-21,Meghalaya,4-Wheelers,0,905
01-Sep-21,Mizoram,2-Wheelers,0,1465
01-Sep-21,Mizoram,4-Wheelers,0,264
01-Sep-21,Nagaland,4-Wheelers,0,681
01-Sep-21,Tripura,2-Wheelers,0,2736
01-Sep-21,Tripura,4-Wheelers,0,403
01-Oct-21,Andaman & Nicobar Island,2-Wheelers,0,360
01-Oct-21,Arunachal Pradesh,2-Wheelers,0,1109
01-Oct-21,Arunachal Pradesh,4-Wheelers,0,570
01-Oct-21,Assam,4-Wheelers,0,5877
01-Oct-21,Ladakh,4-Wheelers,0,289
01-Oct-21,Manipur,4-Wheelers,0,916
01-Oct-21,Meghalaya,2-Wheelers,0,1414
01-Oct-21,Meghalaya,4-Wheelers,0,722
01-Oct-21,Mizoram,2-Wheelers,0,1886
01-Oct-21,Mizoram,4-Wheelers,0,283
01-Oct-21,Nagaland,2-Wheelers,0,650
01-Oct-21,Nagaland,4-Wheelers,0,567
01-Oct-21,Puducherry,4-Wheelers,0,609
01-Oct-21,Tripura,2-Wheelers,0,3015
01-Oct-21,Tripura,4-Wheelers,0,366
01-Nov-21,Andaman & Nicobar Island,2-Wheelers,0,413
01-Nov-21,Andaman & Nicobar Island,4-Wheelers,0,125
01-Nov-21,Arunachal Pradesh,2-Wheelers,0,1262
01-Nov-21,Arunachal Pradesh,4-Wheelers,0,646
01-Nov-21,Assam,4-Wheelers,0,5618
01-Nov-21,DNH and DD,4-Wheelers,0,330
01-Nov-21,Himachal Pradesh,4-Wheelers,0,4496
01-Nov-21,Jammu and Kashmir,4-Wheelers,0,4709
01-Nov-21,Ladakh,2-Wheelers,0,28
01-Nov-21,Ladakh,4-Wheelers,0,287
01-Nov-21,Manipur,4-Wheelers,0,875
01-Nov-21,Meghalaya,2-Wheelers,0,1442
01-Nov-21,Meghalaya,4-Wheelers,0,806
01-Nov-21,Mizoram,2-Wheelers,0,1820
01-Nov-21,Mizoram,4-Wheelers,0,328
01-Nov-21,Nagaland,2-Wheelers,0,592
01-Nov-21,Nagaland,4-Wheelers,0,692
01-Nov-21,Tripura,2-Wheelers,0,3843
01-Nov-21,Tripura,4-Wheelers,0,326
01-Dec-21,Andaman & Nicobar Island,2-Wheelers,0,376
01-Dec-21,Arunachal Pradesh,2-Wheelers,0,1036
01-Dec-21,Arunachal Pradesh,4-Wheelers,0,709
01-Dec-21,Jammu and Kashmir,4-Wheelers,0,5306
01-Dec-21,Ladakh,2-Wheelers,0,15
01-Dec-21,Ladakh,4-Wheelers,0,167
01-Dec-21,Manipur,4-Wheelers,0,849
01-Dec-21,Meghalaya,2-Wheelers,0,1101
01-Dec-21,Meghalaya,4-Wheelers,0,888
01-Dec-21,Mizoram,2-Wheelers,0,1740
01-Dec-21,Mizoram,4-Wheelers,0,376
01-Dec-21,Nagaland,2-Wheelers,0,353
01-Dec-21,Nagaland,4-Wheelers,0,540
01-Dec-21,Tripura,4-Wheelers,0,352
01-Jan-22,Andaman & Nicobar Island,2-Wheelers,0,336
01-Jan-22,Andaman & Nicobar Island,4-Wheelers,0,90
01-Jan-22,Arunachal Pradesh,2-Wheelers,0,950
01-Jan-22,Arunachal Pradesh,4-Wheelers,0,766
01-Jan-22,Assam,4-Wheelers,0,5550
01-Jan-22,DNH and DD,4-Wheelers,0,358
01-Jan-22,Jammu and Kashmir,4-Wheelers,0,3963
01-Jan-22,Ladakh,4-Wheelers,0,150
01-Jan-22,Manipur,4-Wheelers,0,687
01-Jan-22,Meghalaya,2-Wheelers,0,1112
01-Jan-22,Meghalaya,4-Wheelers,0,1063
01-Jan-22,Mizoram,2-Wheelers,0,1387
01-Jan-22,Mizoram,4-Wheelers,0,311
01-Jan-22,Nagaland,2-Wheelers,0,410
01-Jan-22,Nagaland,4-Wheelers,0,722
01-Jan-22,Puducherry,4-Wheelers,0,758
01-Jan-22,Tripura,4-Wheelers,0,394
01-Feb-22,Andaman & Nicobar Island,2-Wheelers,0,388
01-Feb-22,Andaman & Nicobar Island,4-Wheelers,0,112
01-Feb-22,Arunachal Pradesh,2-Wheelers,0,858
01-Feb-22,Arunachal Pradesh,4-Wheelers,0,671
01-Feb-22,Ladakh,2-Wheelers,0,15
01-Feb-22,Ladakh,4-Wheelers,0,44
01-Feb-22,Manipur,4-Wheelers,0,834
01-Feb-22,Meghalaya,2-Wheelers,0,1145
01-Feb-22,Mizoram,2-Wheelers,0,1599
01-Feb-22,Mizoram,4-Wheelers,0,354
01-Feb-22,Nagaland,2-Wheelers,0,504
01-Feb-22,Nagaland,4-Wheelers,0,773
01-Feb-22,Puducherry,4-Wheelers,0,622
01-Feb-22,Tripura,4-Wheelers,0,340
01-Mar-22,Andaman & Nicobar Island,2-Wheelers,0,383
01-Mar-22,Arunachal Pradesh,2-Wheelers,0,1111
01-Mar-22,Arunachal Pradesh,4-Wheelers,0,679
01-Mar-22,Ladakh,2-Wheelers,0,49
01-Mar-22,Ladakh,4-Wheelers,0,49
01-Mar-22,Manipur,4-Wheelers,0,717
01-Mar-22,Meghalaya,2-Wheelers,0,1687
01-Mar-22,Meghalaya,4-Wheelers,0,1104
01-Mar-22,Mizoram,2-Wheelers,0,1848
01-Mar-22,Mizoram,4-Wheelers,0,413
01-Mar-22,Nagaland,2-Wheelers,0,541
01-Mar-22,Nagaland,4-Wheelers,0,632
01-Mar-22,Tripura,4-Wheelers,0,484
01-Apr-22,Andaman & Nicobar Island,2-Wheelers,0,407
01-Apr-22,Arunachal Pradesh,2-Wheelers,0,1063
01-Apr-22,Arunachal Pradesh,4-Wheelers,0,824
01-Apr-22,Ladakh,2-Wheelers,0,351
01-Apr-22,Ladakh,4-Wheelers,0,105
01-Apr-22,Mizoram,2-Wheelers,0,1530
01-Apr-22,Mizoram,4-Wheelers,0,323
01-Apr-22,Nagaland,4-Wheelers,0,723
01-Apr-22,Tripura,4-Wheelers,0,448
01-May-22,Andaman & Nicobar Island,2-Wheelers,0,358
01-May-22,Andaman & Nicobar Island,4-Wheelers,0,110
01-May-22,Arunachal Pradesh,2-Wheelers,0,1241
01-May-22,Arunachal Pradesh,4-Wheelers,0,965
01-May-22,Ladakh,2-Wheelers,0,419
01-May-22,Ladakh,4-Wheelers,0,322
01-May-22,Manipur,4-Wheelers,0,644
01-May-22,Meghalaya,2-Wheelers,0,1780
01-May-22,Mizoram,4-Wheelers,0,397
01-May-22,Nagaland,4-Wheelers,0,630
01-May-22,Tripura,4-Wheelers,0,359
01-Jun-22,Andaman & Nicobar Island,2-Wheelers,0,423
01-Jun-22,Andaman & Nicobar Island,4-Wheelers,0,115
01-Jun-22,Arunachal Pradesh,2-Wheelers,0,1253
01-Jun-22,Arunachal Pradesh,4-Wheelers,0,1021
01-Jun-22,Ladakh,4-Wheelers,0,310
01-Jun-22,Manipur,4-Wheelers,0,1029
01-Jun-22,Mizoram,4-Wheelers,0,373
01-Jun-22,Nagaland,2-Wheelers,0,594
01-Jun-22,Nagaland,4-Wheelers,0,735
01-Jun-22,Tripura,4-Wheelers,0,354
01-Jul-22,Andaman & Nicobar Island,2-Wheelers,0,385
01-Jul-22,Andaman & Nicobar Island,4-Wheelers,0,127
01-Jul-22,Arunachal Pradesh,2-Wheelers,0,1181
01-Jul-22,DNH and DD,4-Wheelers,0,344
01-Jul-22,Ladakh,2-Wheelers,0,314
01-Jul-22,Manipur,4-Wheelers,0,775
01-Jul-22,Mizoram,4-Wheelers,0,319
01-Jul-22,Nagaland,2-Wheelers,0,505
01-Jul-22,Nagaland,4-Wheelers,0,591
01-Jul-22,Tripura,4-Wheelers,0,402
01-Aug-22,Andaman & Nicobar Island,2-Wheelers,0,398
01-Aug-22,Andaman & Nicobar Island,4-Wheelers,0,154
01-Aug-22,Arunachal Pradesh,2-Wheelers,0,1244
01-Aug-22,Arunachal Pradesh,4-Wheelers,0,866
01-Aug-22,Ladakh,2-Wheelers,0,222
01-Aug-22,Manipur,4-Wheelers,0,623
01-Aug-22,Meghalaya,4-Wheelers,0,1120
01-Aug-22,Mizoram,4-Wheelers,0,408
01-Aug-22,Nagaland,2-Wheelers,0,554
01-Aug-22,Nagaland,4-Wheelers,0,844
01-Aug-22,Tripura,4-Wheelers,0,403
01-Sep-22,Andaman & Nicobar Island,2-Wheelers,0,484
01-Sep-22,Andaman & Nicobar Island,4-Wheelers,0,128
01-Sep-22,Arunachal Pradesh,2-Wheelers,0,1068
01-Sep-22,Arunachal Pradesh,4-Wheelers,0,931
01-Sep-22,Ladakh,2-Wheelers,0,30
01-Sep-22,Ladakh,4-Wheelers,0,189
01-Sep-22,Manipur,4-Wheelers,0,820
01-Sep-22,Mizoram,4-Wheelers,0,379
01-Sep-22,Nagaland,2-Wheelers,0,589
01-Sep-22,Nagaland,4-Wheelers,0,780
01-Sep-22,Tripura,4-Wheelers,0,465
01-Oct-22,Andaman & Nicobar Island,2-Wheelers,0,409
01-Oct-22,Andaman & Nicobar Island,4-Wheelers,0,144
01-Oct-22,Arunachal Pradesh,2-Wheelers,0,850
01-Oct-22,Arunachal Pradesh,4-Wheelers,0,741
01-Oct-22,Ladakh,2-Wheelers,0,27
01-Oct-22,Ladakh,4-Wheelers,0,264
01-Oct-22,Manipur,4-Wheelers,0,596
01-Oct-22,Mizoram,4-Wheelers,0,362
01-Oct-22,Nagaland,2-Wheelers,0,374
01-Oct-22,Nagaland,4-Wheelers,0,690
01-Oct-22,Tripura,4-Wheelers,0,416
01-Nov-22,Arunachal Pradesh,2-Wheelers,0,1251
01-Nov-22,Arunachal Pradesh,4-Wheelers,0,971
01-Nov-22,Jammu and Kashmir,4-Wheelers,0,4102
01-Nov-22,Ladakh,2-Wheelers,0,23
01-Nov-22,Ladakh,4-Wheelers,0,244
01-Nov-22,Manipur,4-Wheelers,0,1569
01-Nov-22,Meghalaya,4-Wheelers,0,1158
01-Nov-22,Mizoram,4-Wheelers,0,378
01-Nov-22,Nagaland,2-Wheelers,0,447
01-Nov-22,Nagaland,4-Wheelers,0,724
01-Nov-22,Punjab,4-Wheelers,0,8875
01-Nov-22,Tripura,4-Wheelers,0,410
01-Dec-22,Arunachal Pradesh,4-Wheelers,0,865
01-Dec-22,Ladakh,2-Wheelers,0,16
01-Dec-22,Ladakh,4-Wheelers,0,144
01-Dec-22,Manipur,4-Wheelers,0,1478
01-Dec-22,Meghalaya,4-Wheelers,0,1150
01-Dec-22,Mizoram,4-Wheelers,0,445
01-Dec-22,Nagaland,2-Wheelers,0,369
01-Dec-22,Nagaland,4-Wheelers,0,490
01-Dec-22,Tripura,4-Wheelers,0,385
01-Jan-23,Andaman & Nicobar Island,2-Wheelers,0,373
01-Jan-23,Andaman & Nicobar Island,4-Wheelers,0,153
01-Jan-23,Arunachal Pradesh,2-Wheelers,0,718
01-Jan-23,Arunachal Pradesh,4-Wheelers,0,966
01-Jan-23,Ladakh,4-Wheelers,0,92
01-Jan-23,Mizoram,4-Wheelers,0,476
01-Jan-23,Nagaland,2-Wheelers,0,432
01-Jan-23,Nagaland,4-Wheelers,0,545
01-Jan-23,Punjab,4-Wheelers,0,11608
01-Jan-23,Tripura,4-Wheelers,0,399
01-Feb-23,Andaman & Nicobar Island,2-Wheelers,0,346
01-Feb-23,Andaman & Nicobar Island,4-Wheelers,0,148
01-Feb-23,Arunachal Pradesh,2-Wheelers,0,816
01-Feb-23,Arunachal Pradesh,4-Wheelers,0,840
01-Feb-23,Ladakh,2-Wheelers,0,5
01-Feb-23,Ladakh,4-Wheelers,0,49
01-Feb-23,Meghalaya,4-Wheelers,0,1002
01-Feb-23,Mizoram,4-Wheelers,0,337
01-Feb-23,Nagaland,2-Wheelers,0,375
01-Feb-23,Nagaland,4-Wheelers,0,806
01-Feb-23,Tripura,4-Wheelers,0,328
01-Mar-23,Arunachal Pradesh,2-Wheelers,0,1131
01-Mar-23,Arunachal Pradesh,4-Wheelers,0,1048
01-Mar-23,Ladakh,2-Wheelers,0,30
01-Mar-23,Ladakh,4-Wheelers,0,59
01-Mar-23,Manipur,4-Wheelers,0,320
01-Mar-23,Meghalaya,4-Wheelers,0,1369
01-Mar-23,Mizoram,4-Wheelers,0,433
01-Mar-23,Nagaland,2-Wheelers,0,693
01-Mar-23,Nagaland,4-Wheelers,0,820
01-Apr-23,Andaman & Nicobar Island,2-Wheelers,0,325
01-Apr-23,Arunachal Pradesh,2-Wheelers,0,971
01-Apr-23,Ladakh,2-Wheelers,0,43
01-Apr-23,Ladakh,4-Wheelers,0,219
01-Apr-23,Manipur,4-Wheelers,0,942
01-Apr-23,Mizoram,4-Wheelers,0,336
01-Apr-23,Nagaland,2-Wheelers,0,560
01-May-23,Andaman & Nicobar Island,2-Wheelers,0,436
01-May-23,Andaman & Nicobar Island,4-Wheelers,0,150
01-May-23,Arunachal Pradesh,4-Wheelers,0,1132
01-May-23,Ladakh,4-Wheelers,0,364
01-May-23,Mizoram,4-Wheelers,0,382
01-May-23,Nagaland,2-Wheelers,0,610
01-May-23,Nagaland,4-Wheelers,0,796
01-Jun-23,Andaman & Nicobar Island,2-Wheelers,0,373
01-Jun-23,Arunachal Pradesh,2-Wheelers,0,1141
01-Jun-23,Arunachal Pradesh,4-Wheelers,0,1089
01-Jun-23,Ladakh,4-Wheelers,0,304
01-Jun-23,Manipur,4-Wheelers,0,220
01-Jun-23,Mizoram,4-Wheelers,0,383
01-Jun-23,Nagaland,2-Wheelers,0,650
01-Jun-23,Nagaland,4-Wheelers,0,620
01-Jul-23,Andaman & Nicobar Island,2-Wheelers,0,424
01-Jul-23,Arunachal Pradesh,2-Wheelers,0,1315
01-Jul-23,Ladakh,4-Wheelers,0,301
01-Jul-23,Mizoram,4-Wheelers,0,439
01-Aug-23,Andaman & Nicobar Island,2-Wheelers,0,477
01-Aug-23,Arunachal Pradesh,2-Wheelers,0,1292
01-Aug-23,Ladakh,2-Wheelers,0,63
01-Aug-23,Ladakh,4-Wheelers,0,278
01-Aug-23,Mizoram,4-Wheelers,0,410
01-Aug-23,Nagaland,2-Wheelers,0,592
01-Aug-23,Nagaland,4-Wheelers,0,760
01-Sep-23,Andaman & Nicobar Island,2-Wheelers,0,379
01-Sep-23,Arunachal Pradesh,2-Wheelers,0,1274
01-Sep-23,Ladakh,2-Wheelers,0,40
01-Sep-23,Ladakh,4-Wheelers,0,211
01-Sep-23,Manipur,2-Wheelers,0,426
01-Sep-23,Manipur,4-Wheelers,0,239
01-Sep-23,Mizoram,4-Wheelers,0,415
01-Sep-23,Nagaland,4-Wheelers,0,654
01-Oct-23,Arunachal Pradesh,2-Wheelers,0,1281
01-Oct-23,Ladakh,2-Wheelers,0,33
01-Oct-23,Ladakh,4-Wheelers,0,187
01-Oct-23,Mizoram,4-Wheelers,0,453
01-Oct-23,Nagaland,2-Wheelers,0,471
01-Oct-23,Nagaland,4-Wheelers,0,743
01-Nov-23,Arunachal Pradesh,2-Wheelers,0,1458
01-Nov-23,Ladakh,2-Wheelers,0,39
01-Nov-23,Ladakh,4-Wheelers,0,166
01-Nov-23,Mizoram,4-Wheelers,0,531
01-Dec-23,Ladakh,2-Wheelers,0,7
01-Dec-23,Ladakh,4-Wheelers,0,144
01-Dec-23,Mizoram,4-Wheelers,0,568
01-Dec-23,Nagaland,2-Wheelers,0,421
01-Dec-23,Nagaland,4-Wheelers,0,562
01-Jan-24,Arunachal Pradesh,2-Wheelers,0,995
01-Jan-24,Nagaland,2-Wheelers,0,505
01-Jan-24,Ladakh,4-Wheelers,0,141
01-Jan-24,Andaman & Nicobar,4-Wheelers,0,177
01-Jan-24,Nagaland,4-Wheelers,0,877
01-Feb-24,Arunachal Pradesh,2-Wheelers,0,1117
01-Feb-24,Nagaland,2-Wheelers,0,763
01-Feb-24,Ladakh,2-Wheelers,0,4
01-Feb-24,Mizoram,4-Wheelers,0,494
01-Feb-24,Ladakh,4-Wheelers,0,47
01-Mar-24,Arunachal Pradesh,2-Wheelers,0,1259
01-Mar-24,Ladakh,2-Wheelers,0,11
01-Mar-24,Mizoram,4-Wheelers,0,463
01-Mar-24,Nagaland,4-Wheelers,0,1336
01-Mar-24,Ladakh,4-Wheelers,0,81
01-Apr-21,DNH and DD,2-Wheelers,1,657
01-Apr-21,Himachal Pradesh,4-Wheelers,1,3544
01-Apr-21,Meghalaya,4-Wheelers,1,930
01-May-21,Chandigarh,4-Wheelers,1,413
01-May-21,Haryana,4-Wheelers,1,4373
01-May-21,Himachal Pradesh,4-Wheelers,1,1503
01-May-21,Jharkhand,4-Wheelers,1,2290
01-May-21,Madhya Pradesh,2-Wheelers,1,6302
01-May-21,Meghalaya,4-Wheelers,1,88
01-Jun-21,Assam,4-Wheelers,1,3842
01-Jun-21,DNH and DD,4-Wheelers,1,234
01-Jun-21,Himachal Pradesh,4-Wheelers,1,3193
01-Jun-21,Jammu and Kashmir,4-Wheelers,1,4469
01-Jun-21,Tripura,2-Wheelers,1,1523
01-Jul-21,Jammu and Kashmir,4-Wheelers,1,5336
01-Jul-21,Meghalaya,4-Wheelers,1,759
01-Aug-21,Andaman & Nicobar Island,4-Wheelers,1,110
01-Aug-21,Puducherry,4-Wheelers,1,837
01-Sep-21,DNH and DD,2-Wheelers,1,666
01-Sep-21,Himachal Pradesh,4-Wheelers,1,3379
01-Sep-21,Jammu and Kashmir,4-Wheelers,1,3773
01-Sep-21,Nagaland,2-Wheelers,1,578
01-Oct-21,Andaman & Nicobar Island,4-Wheelers,1,70
01-Oct-21,DNH and DD,2-Wheelers,1,628
01-Oct-21,DNH and DD,4-Wheelers,1,333
01-Oct-21,Himachal Pradesh,4-Wheelers,1,3201
01-Nov-21,DNH and DD,2-Wheelers,1,938
01-Nov-21,Puducherry,4-Wheelers,1,532
01-Dec-21,Andaman & Nicobar Island,4-Wheelers,1,122
01-Dec-21,DNH and DD,4-Wheelers,1,336
01-Dec-21,Himachal Pradesh,4-Wheelers,1,4105
01-Dec-21,Tripura,2-Wheelers,1,3579
01-Feb-22,DNH and DD,4-Wheelers,1,354
01-Feb-22,Meghalaya,4-Wheelers,1,917
01-Mar-22,DNH and DD,4-Wheelers,1,355
01-Apr-22,Andaman & Nicobar Island,4-Wheelers,1,147
01-Apr-22,DNH and DD,4-Wheelers,1,431
