date,vehicle_category,maker,electric_vehicles_sold
01-Apr-23,4-Wheelers,Tata Motors,364
01-Apr-23,4-Wheelers,MG Motor,265
01-Apr-23,4-Wheelers,Mahindra & Mahindra,4880
01-Apr-23,4-Wheelers,BYD India,156
01-Apr-23,4-Wheelers,Hyundai Motor,42
01-Apr-23,4-Wheelers,PCA Automobiles,181
01-Apr-23,4-Wheelers,BMW India,51
01-Apr-23,4-Wheelers,Mercedes -Benz AG,8
01-Apr-23,4-Wheelers,Volvo Auto India,27
01-Apr-23,4-Wheelers,KIA Motors,30
01-May-21,4-Wheelers,Tata Motors,137
01-May-21,4-Wheelers,MG Motor,39
01-May-21,4-Wheelers,Mahindra & Mahindra,78
01-May-21,4-Wheelers,Hyundai Motor,3
01-May-22,4-Wheelers,Tata Motors,2097
01-May-22,4-Wheelers,MG Motor,181
01-May-22,4-Wheelers,Mahindra & Mahindra,622
01-May-22,4-Wheelers,BYD India,30
01-May-22,4-Wheelers,Hyundai Motor,19
01-May-22,4-Wheelers,BMW India,6
01-May-22,4-Wheelers,Mercedes -Benz AG,4
01-May-23,4-Wheelers,Tata Motors,3212
01-May-23,4-Wheelers,MG Motor,351
01-May-23,4-Wheelers,Mahindra & Mahindra,3457
01-May-23,4-Wheelers,BYD India,110
01-May-23,4-Wheelers,Hyundai Motor,129
01-May-23,4-Wheelers,PCA Automobiles,245
01-May-23,4-Wheelers,BMW India,57
01-May-23,4-Wheelers,Mercedes -Benz AG,9
01-May-23,4-Wheelers,Volvo Auto India,34
01-May-23,4-Wheelers,KIA Motors,36
01-Jun-21,4-Wheelers,Tata Motors,572
01-Jun-21,4-Wheelers,MG Motor,128
01-Jun-21,4-Wheelers,Mahindra & Mahindra,106
01-Jun-21,4-Wheelers,Hyundai Motor,10
01-Jun-21,4-Wheelers,Mercedes -Benz AG,2
01-Jun-22,4-Wheelers,Tata Motors,2169
01-Jun-22,4-Wheelers,MG Motor,173
01-Jun-22,4-Wheelers,Mahindra & Mahindra,787
01-Jun-22,4-Wheelers,BYD India,36
01-Jun-22,4-Wheelers,Hyundai Motor,39
01-Jun-22,4-Wheelers,BMW India,4
01-Jun-22,4-Wheelers,Mercedes -Benz AG,2
01-Jun-23,4-Wheelers,Tata Motors,3671
01-Jun-23,4-Wheelers,MG Motor,877
01-Jun-23,4-Wheelers,Mahindra & Mahindra,2574
01-Jun-23,4-Wheelers,BYD India,140
01-Jun-23,4-Wheelers,Hyundai Motor,121
01-Jun-23,4-Wheelers,PCA Automobiles,254
01-Jun-23,4-Wheelers,BMW India,76
01-Jun-23,4-Wheelers,Mercedes -Benz AG,14
01-Jun-23,4-Wheelers,Volvo Auto India,33
01-Jun-23,4-Wheelers,KIA Motors,30
01-Jul-21,4-Wheelers,Tata Motors,696
01-Jul-21,4-Wheelers,MG Motor,232
01-Jul-21,4-Wheelers,Mahindra & Mahindra,171
01-Jul-21,4-Wheelers,Hyundai Motor,18
01-Jul-21,4-Wheelers,Mercedes -Benz AG,1
01-Jul-22,4-Wheelers,Tata Motors,2264
01-Jul-22,4-Wheelers,MG Motor,194
01-Jul-22,4-Wheelers,Mahindra & Mahindra,866
01-Jul-22,4-Wheelers,BYD India,32
01-Jul-22,4-Wheelers,Hyundai Motor,45
01-Jul-22,4-Wheelers,BMW India,4
01-Jul-22,4-Wheelers,Mercedes -Benz AG,1
01-Jul-23,4-Wheelers,Tata Motors,3823
01-Jul-23,4-Wheelers,MG Motor,935
01-Jul-23,4-Wheelers,Mahindra & Mahindra,2174
01-Jul-23,4-Wheelers,BYD India,89
01-Jul-23,4-Wheelers,Hyundai Motor,88
01-Jul-23,4-Wheelers,PCA Automobiles,169
01-Jul-23,4-Wheelers,BMW India,81
01-Jul-23,4-Wheelers,Mercedes -Benz AG,23
01-Jul-23,4-Wheelers,Volvo Auto India,26
01-Jul-23,4-Wheelers,KIA Motors,22
01-Aug-21,4-Wheelers,Tata Motors,584
01-Aug-21,4-Wheelers,MG Motor,303
01-Aug-21,4-Wheelers,Mahindra & Mahindra,204
01-Aug-21,4-Wheelers,Hyundai Motor,10
01-Aug-21,4-Wheelers,Mercedes -Benz AG,2
01-Aug-22,4-Wheelers,Tata Motors,1931
01-Aug-22,4-Wheelers,MG Motor,234
01-Aug-22,4-Wheelers,Mahindra & Mahindra,1085
01-Aug-22,4-Wheelers,BYD India,33
01-Aug-22,4-Wheelers,Hyundai Motor,53
01-Aug-22,4-Wheelers,BMW India,19
01-Aug-22,4-Wheelers,Mercedes -Benz AG,3
01-Aug-23,4-Wheelers,Tata Motors,3388
01-Aug-23,4-Wheelers,MG Motor,913
01-Aug-23,4-Wheelers,Mahindra & Mahindra,2013
01-Aug-23,4-Wheelers,BYD India,80
01-Aug-23,4-Wheelers,Hyundai Motor,141
01-Aug-23,4-Wheelers,PCA Automobiles,89
01-Aug-23,4-Wheelers,BMW India,64
01-Aug-23,4-Wheelers,Mercedes -Benz AG,8
01-Aug-23,4-Wheelers,Volvo Auto India,36
01-Aug-23,4-Wheelers,KIA Motors,21
01-Sep-21,4-Wheelers,Tata Motors,772
01-Sep-21,4-Wheelers,MG Motor,263
01-Sep-21,4-Wheelers,Mahindra & Mahindra,276
01-Sep-21,4-Wheelers,Hyundai Motor,6
01-Sep-21,4-Wheelers,Mercedes -Benz AG,2
01-Sep-22,4-Wheelers,Tata Motors,1997
01-Sep-22,4-Wheelers,MG Motor,207
01-Sep-22,4-Wheelers,Mahindra & Mahindra,1213
01-Sep-22,4-Wheelers,BYD India,48
01-Sep-22,4-Wheelers,Hyundai Motor,57
01-Sep-22,4-Wheelers,BMW India,21
01-Sep-22,4-Wheelers,Mercedes -Benz AG,3
01-Sep-23,4-Wheelers,Tata Motors,3126
01-Sep-23,4-Wheelers,MG Motor,676
01-Sep-23,4-Wheelers,Mahindra & Mahindra,1668
01-Sep-23,4-Wheelers,BYD India,141
01-Sep-23,4-Wheelers,Hyundai Motor,161
01-Sep-23,4-Wheelers,PCA Automobiles,108
01-Sep-23,4-Wheelers,BMW India,58
01-Sep-23,4-Wheelers,Mercedes -Benz AG,41
01-Sep-23,4-Wheelers,Volvo Auto India,42
01-Sep-23,4-Wheelers,KIA Motors,26
01-Oct-21,4-Wheelers,Tata Motors,803
01-Oct-21,4-Wheelers,MG Motor,194
01-Oct-21,4-Wheelers,Mahindra & Mahindra,369
01-Oct-21,4-Wheelers,Hyundai Motor,8
01-Oct-21,4-Wheelers,Mercedes -Benz AG,3
01-Oct-22,4-Wheelers,Tata Motors,2395
01-Oct-22,4-Wheelers,MG Motor,338
01-Oct-22,4-Wheelers,Mahindra & Mahindra,1051
01-Oct-22,4-Wheelers,BYD India,27
01-Oct-22,4-Wheelers,Hyundai Motor,64
01-Oct-22,4-Wheelers,BMW India,4
01-Oct-22,4-Wheelers,Mercedes -Benz AG,4
01-Oct-22,4-Wheelers,KIA Motors,29
01-Oct-23,4-Wheelers,Tata Motors,3911
01-Oct-23,4-Wheelers,MG Motor,714
01-Oct-23,4-Wheelers,Mahindra & Mahindra,2027
01-Oct-23,4-Wheelers,BYD India,109
01-Oct-23,4-Wheelers,Hyundai Motor,148
01-Oct-23,4-Wheelers,PCA Automobiles,132
01-Oct-23,4-Wheelers,BMW India,71
01-Oct-23,4-Wheelers,Mercedes -Benz AG,18
01-Oct-23,4-Wheelers,Volvo Auto India,41
01-Oct-23,4-Wheelers,KIA Motors,39
01-Nov-21,4-Wheelers,Tata Motors,1036
01-Nov-21,4-Wheelers,MG Motor,118
01-Nov-21,4-Wheelers,Mahindra & Mahindra,462
01-Nov-21,4-Wheelers,Hyundai Motor,7
01-Nov-21,4-Wheelers,Mercedes -Benz AG,2
01-Nov-22,4-Wheelers,Tata Motors,2264
01-Nov-22,4-Wheelers,MG Motor,464
01-Nov-22,4-Wheelers,Mahindra & Mahindra,1067
01-Nov-22,4-Wheelers,BYD India,39
01-Nov-22,4-Wheelers,Hyundai Motor,59
01-Nov-22,4-Wheelers,BMW India,14
01-Nov-22,4-Wheelers,Mercedes -Benz AG,4
01-Nov-22,4-Wheelers,Volvo Auto India,5
01-Nov-22,4-Wheelers,KIA Motors,61
01-Nov-23,4-Wheelers,Tata Motors,4432
01-Nov-23,4-Wheelers,MG Motor,723
01-Nov-23,4-Wheelers,Mahindra & Mahindra,1222
01-Nov-23,4-Wheelers,BYD India,106
01-Nov-23,4-Wheelers,Hyundai Motor,125
01-Nov-23,4-Wheelers,PCA Automobiles,98
01-Nov-23,4-Wheelers,BMW India,215
01-Nov-23,4-Wheelers,Mercedes -Benz AG,35
01-Nov-23,4-Wheelers,Volvo Auto India,57
01-Nov-23,4-Wheelers,KIA Motors,29
01-Dec-21,4-Wheelers,Tata Motors,1952
01-Dec-21,4-Wheelers,MG Motor,99
01-Dec-21,4-Wheelers,Mahindra & Mahindra,552
01-Dec-21,4-Wheelers,BYD India,1
01-Dec-21,4-Wheelers,Hyundai Motor,10
01-Dec-21,4-Wheelers,Mercedes -Benz AG,1
01-Dec-22,4-Wheelers,Tata Motors,1992
01-Dec-22,4-Wheelers,MG Motor,363
01-Dec-22,4-Wheelers,Mahindra & Mahindra,1260
01-Dec-22,4-Wheelers,BYD India,37
01-Dec-22,4-Wheelers,Hyundai Motor,68
01-Dec-22,4-Wheelers,BMW India,27
01-Dec-22,4-Wheelers,Mercedes -Benz AG,6
01-Dec-22,4-Wheelers,Volvo Auto India,16
01-Dec-22,4-Wheelers,KIA Motors,65
01-Dec-23,4-Wheelers,Tata Motors,4893
01-Dec-23,4-Wheelers,MG Motor,753
01-Dec-23,4-Wheelers,Mahindra & Mahindra,1015
01-Dec-23,4-Wheelers,BYD India,135
01-Dec-23,4-Wheelers,Hyundai Motor,97
01-Dec-23,4-Wheelers,PCA Automobiles,40
01-Dec-23,4-Wheelers,BMW India,137
01-Dec-23,4-Wheelers,Mercedes -Benz AG,51
01-Dec-23,4-Wheelers,Volvo Auto India,47
01-Dec-23,4-Wheelers,KIA Motors,23
01-Jan-22,4-Wheelers,Tata Motors,1012
01-Jan-22,4-Wheelers,MG Motor,48
01-Jan-22,4-Wheelers,Mahindra & Mahindra,474
01-Jan-22,4-Wheelers,BYD India,8
01-Jan-22,4-Wheelers,Hyundai Motor,6
01-Jan-22,4-Wheelers,Mercedes -Benz AG,2
01-Jan-23,4-Wheelers,Tata Motors,1812
01-Jan-23,4-Wheelers,MG Motor,313
01-Jan-23,4-Wheelers,Mahindra & Mahindra,967
01-Jan-23,4-Wheelers,BYD India,101
01-Jan-23,4-Wheelers,Hyundai Motor,84
01-Jan-23,4-Wheelers,BMW India,91
01-Jan-23,4-Wheelers,Mercedes -Benz AG,14
01-Jan-23,4-Wheelers,Volvo Auto India,21
01-Jan-23,4-Wheelers,KIA Motors,35
01-Jan-24,4-Wheelers,Tata Motors,5674
01-Jan-24,4-Wheelers,MG Motor,908
01-Jan-24,4-Wheelers,Mahindra & Mahindra,896
01-Jan-24,4-Wheelers,BYD India,123
01-Jan-24,4-Wheelers,Hyundai Motor,128
01-Jan-24,4-Wheelers,PCA Automobiles,23
01-Jan-24,4-Wheelers,BMW India,116
01-Jan-24,4-Wheelers,Mercedes -Benz AG,29
01-Jan-24,4-Wheelers,Volvo Auto India,42
01-Jan-24,4-Wheelers,KIA Motors,29
01-Feb-22,4-Wheelers,Tata Motors,1922
01-Feb-22,4-Wheelers,MG Motor,30
01-Feb-22,4-Wheelers,Mahindra & Mahindra,478
01-Feb-22,4-Wheelers,BYD India,10
01-Feb-22,4-Wheelers,Hyundai Motor,6
01-Feb-22,4-Wheelers,Mercedes -Benz AG,3
01-Feb-23,4-Wheelers,Tata Motors,2651
01-Feb-23,4-Wheelers,MG Motor,261
01-Feb-23,4-Wheelers,Mahindra & Mahindra,1531
01-Feb-23,4-Wheelers,BYD India,174
01-Feb-23,4-Wheelers,Hyundai Motor,36
01-Feb-23,4-Wheelers,BMW India,43
01-Feb-23,4-Wheelers,Mercedes -Benz AG,12
01-Feb-23,4-Wheelers,Volvo Auto India,26
01-Feb-23,4-Wheelers,KIA Motors,22
01-Feb-24,4-Wheelers,Tata Motors,5081
01-Feb-24,4-Wheelers,MG Motor,829
01-Feb-24,4-Wheelers,Mahindra & Mahindra,712
01-Feb-24,4-Wheelers,BYD India,135
01-Feb-24,4-Wheelers,Hyundai Motor,94
01-Feb-24,4-Wheelers,PCA Automobiles,64
01-Feb-24,4-Wheelers,BMW India,97
01-Feb-24,4-Wheelers,Mercedes -Benz AG,24
01-Feb-24,4-Wheelers,Volvo Auto India,35
01-Feb-24,4-Wheelers,KIA Motors,17
01-Mar-22,4-Wheelers,Tata Motors,2900
01-Mar-22,4-Wheelers,MG Motor,75
01-Mar-22,4-Wheelers,Mahindra & Mahindra,701
01-Mar-22,4-Wheelers,BYD India,14
01-Mar-22,4-Wheelers,Hyundai Motor,14
01-Mar-22,4-Wheelers,BMW India,7
01-Mar-22,4-Wheelers,Mercedes -Benz AG,5
01-Mar-22,4-Wheelers,Volvo Auto India,4
01-Mar-23,4-Wheelers,Tata Motors,5065
01-Mar-23,4-Wheelers,MG Motor,372
01-Mar-23,4-Wheelers,Mahindra & Mahindra,2745
01-Mar-23,4-Wheelers,BYD India,348
01-Mar-23,4-Wheelers,Hyundai Motor,35
01-Mar-23,4-Wheelers,PCA Automobiles,151
01-Mar-23,4-Wheelers,BMW India,40
01-Mar-23,4-Wheelers,Mercedes -Benz AG,10
01-Mar-23,4-Wheelers,Volvo Auto India,37
01-Mar-23,4-Wheelers,KIA Motors,17
01-Mar-24,4-Wheelers,Tata Motors,6606
01-Mar-24,4-Wheelers,MG Motor,885
01-Mar-24,4-Wheelers,Mahindra & Mahindra,708
01-Mar-24,4-Wheelers,BYD India,142
01-Mar-24,4-Wheelers,Hyundai Motor,116
01-Mar-24,4-Wheelers,PCA Automobiles,130
01-Mar-24,4-Wheelers,BMW India,55
01-Mar-24,4-Wheelers,Mercedes -Benz AG,31
01-Mar-24,4-Wheelers,Volvo Auto India,39
01-Mar-24,4-Wheelers,KIA Motors,26
01-Apr-21,2-Wheelers,HERO ELECTRIC,759
01-Apr-21,2-Wheelers,OKINAWA,1251
01-Apr-21,2-Wheelers,AMPERE,751
01-Apr-21,2-Wheelers,ATHER,903
01-Apr-21,2-Wheelers,PURE EV,581
01-Apr-21,2-Wheelers,TVS,302
01-Apr-21,2-Wheelers,REVOLT,138
01-Apr-21,2-Wheelers,BAJAJ,48
01-Apr-21,2-Wheelers,BEING,171
01-Apr-21,2-Wheelers,JITENDRA,36
01-Apr-21,2-Wheelers,OTHERS,749
01-Apr-22,2-Wheelers,OLA ELECTRIC,13601
01-Apr-22,2-Wheelers,OKINAWA,11341
01-Apr-22,2-Wheelers,HERO ELECTRIC,6803
01-Apr-22,2-Wheelers,AMPERE,6864
01-Apr-22,2-Wheelers,TVS,1498
01-Apr-22,2-Wheelers,ATHER,2451
01-Apr-22,2-Wheelers,BAJAJ,1223
01-Apr-22,2-Wheelers,REVOLT,1241
01-Apr-22,2-Wheelers,PURE EV,1756
01-Apr-22,2-Wheelers,BEING,874
01-Apr-22,2-Wheelers,JITENDRA,940
01-Apr-22,2-Wheelers,OTHERS,4683
01-Apr-23,2-Wheelers,OLA ELECTRIC,22548
01-Apr-23,2-Wheelers,TVS,8654
01-Apr-23,2-Wheelers,ATHER,7707
01-Apr-23,2-Wheelers,BAJAJ,4043
01-Apr-23,2-Wheelers,AMPERE,8767
01-Apr-23,2-Wheelers,OKINAWA,3179
01-Apr-23,2-Wheelers,HERO ELECTRIC,3293
01-Apr-23,2-Wheelers,OKAYA EV,1544
01-Apr-23,2-Wheelers,BGAUSS,762
01-Apr-23,2-Wheelers,BATTRE ELECTRIC,644
01-Apr-23,2-Wheelers,KINETIC GREEN,838
01-Apr-23,2-Wheelers,REVOLT,520
01-Apr-23,2-Wheelers,OTHERS,4315
01-May-21,2-Wheelers,HERO ELECTRIC,170
01-May-21,2-Wheelers,OKINAWA,245
01-May-21,2-Wheelers,AMPERE,147
01-May-21,2-Wheelers,ATHER,160
01-May-21,2-Wheelers,PURE EV,122
01-May-21,2-Wheelers,TVS,9
01-May-21,2-Wheelers,REVOLT,42
01-May-21,2-Wheelers,BAJAJ,20
01-May-21,2-Wheelers,BEING,54
01-May-21,2-Wheelers,JITENDRA,13
01-May-21,2-Wheelers,OTHERS,260
01-May-22,2-Wheelers,OLA ELECTRIC,9266
01-May-22,2-Wheelers,OKINAWA,10340
01-May-22,2-Wheelers,HERO ELECTRIC,2970
01-May-22,2-Wheelers,AMPERE,6176
01-May-22,2-Wheelers,TVS,478
01-May-22,2-Wheelers,ATHER,3337
01-May-22,2-Wheelers,BAJAJ,1812
01-May-22,2-Wheelers,OKAYA EV,19
01-May-22,2-Wheelers,REVOLT,1589
01-May-22,2-Wheelers,PURE EV,1464
01-May-22,2-Wheelers,BEING,862
01-May-22,2-Wheelers,JITENDRA,646
01-May-22,2-Wheelers,OTHERS,3455
01-May-23,2-Wheelers,OLA ELECTRIC,29447
01-May-23,2-Wheelers,TVS,20188
01-May-23,2-Wheelers,ATHER,15243
01-May-23,2-Wheelers,BAJAJ,9976
01-May-23,2-Wheelers,AMPERE,10659
01-May-23,2-Wheelers,OKINAWA,2873
01-May-23,2-Wheelers,HERO ELECTRIC,2085
01-May-23,2-Wheelers,OKAYA EV,3831
01-May-23,2-Wheelers,BGAUSS,1792
01-May-23,2-Wheelers,BATTRE ELECTRIC,1185
01-May-23,2-Wheelers,KINETIC GREEN,886
01-May-23,2-Wheelers,REVOLT,565
01-May-23,2-Wheelers,OTHERS,6627
01-Jun-21,2-Wheelers,HERO ELECTRIC,1355
01-Jun-21,2-Wheelers,OKINAWA,984
01-Jun-21,2-Wheelers,AMPERE,299
01-Jun-21,2-Wheelers,ATHER,320
01-Jun-21,2-Wheelers,PURE EV,460
01-Jun-21,2-Wheelers,TVS,208
01-Jun-21,2-Wheelers,REVOLT,59
01-Jun-21,2-Wheelers,BAJAJ,176
01-Jun-21,2-Wheelers,BEING,198
01-Jun-21,2-Wheelers,JITENDRA,43
01-Jun-21,2-Wheelers,OTHERS,567
01-Jun-22,2-Wheelers,OLA ELECTRIC,5897
01-Jun-22,2-Wheelers,OKINAWA,7554
01-Jun-22,2-Wheelers,HERO ELECTRIC,6836
01-Jun-22,2-Wheelers,AMPERE,6919
01-Jun-22,2-Wheelers,TVS,1983
01-Jun-22,2-Wheelers,ATHER,3829
01-Jun-22,2-Wheelers,BAJAJ,1824
01-Jun-22,2-Wheelers,OKAYA EV,760
01-Jun-22,2-Wheelers,REVOLT,2423
01-Jun-22,2-Wheelers,PURE EV,1125
01-Jun-22,2-Wheelers,BEING,1005
01-Jun-22,2-Wheelers,JITENDRA,568
01-Jun-22,2-Wheelers,OTHERS,3658
01-Jun-23,2-Wheelers,OLA ELECTRIC,17768
01-Jun-23,2-Wheelers,TVS,7772
01-Jun-23,2-Wheelers,ATHER,4547
01-Jun-23,2-Wheelers,BAJAJ,2975
01-Jun-23,2-Wheelers,AMPERE,3006
01-Jun-23,2-Wheelers,OKINAWA,2588
01-Jun-23,2-Wheelers,HERO ELECTRIC,1123
01-Jun-23,2-Wheelers,OKAYA EV,419
01-Jun-23,2-Wheelers,BGAUSS,189
01-Jun-23,2-Wheelers,BATTRE ELECTRIC,82
01-Jun-23,2-Wheelers,KINETIC GREEN,201
01-Jun-23,2-Wheelers,REVOLT,705
01-Jun-23,2-Wheelers,OTHERS,4466
01-Jul-21,2-Wheelers,HERO ELECTRIC,4557
01-Jul-21,2-Wheelers,OKINAWA,2633
01-Jul-21,2-Wheelers,AMPERE,663
01-Jul-21,2-Wheelers,ATHER,1799
01-Jul-21,2-Wheelers,PURE EV,1417
01-Jul-21,2-Wheelers,TVS,648
01-Jul-21,2-Wheelers,REVOLT,321
01-Jul-21,2-Wheelers,BAJAJ,730
01-Jul-21,2-Wheelers,BEING,494
01-Jul-21,2-Wheelers,JITENDRA,212
01-Jul-21,2-Wheelers,OTHERS,1202
01-Jul-22,2-Wheelers,OLA ELECTRIC,3864
01-Jul-22,2-Wheelers,OKINAWA,8394
01-Jul-22,2-Wheelers,HERO ELECTRIC,9334
01-Jul-22,2-Wheelers,AMPERE,6812
01-Jul-22,2-Wheelers,TVS,4348
01-Jul-22,2-Wheelers,ATHER,1289
01-Jul-22,2-Wheelers,BAJAJ,2482
01-Jul-22,2-Wheelers,OKAYA EV,1076
01-Jul-22,2-Wheelers,REVOLT,2318
01-Jul-22,2-Wheelers,PURE EV,1000
01-Jul-22,2-Wheelers,BEING,1245
01-Jul-22,2-Wheelers,JITENDRA,880
01-Jul-22,2-Wheelers,OTHERS,3562
01-Jul-23,2-Wheelers,OLA ELECTRIC,19409
01-Jul-23,2-Wheelers,TVS,10272
01-Jul-23,2-Wheelers,ATHER,6604
01-Jul-23,2-Wheelers,BAJAJ,4081
01-Jul-23,2-Wheelers,AMPERE,3530
01-Jul-23,2-Wheelers,OKINAWA,2238
01-Jul-23,2-Wheelers,HERO ELECTRIC,770
01-Jul-23,2-Wheelers,OKAYA EV,775
01-Jul-23,2-Wheelers,BGAUSS,653
01-Jul-23,2-Wheelers,BATTRE ELECTRIC,133
01-Jul-23,2-Wheelers,KINETIC GREEN,229
01-Jul-23,2-Wheelers,REVOLT,478
01-Jul-23,2-Wheelers,OTHERS,5020
01-Aug-21,2-Wheelers,HERO ELECTRIC,5527
01-Aug-21,2-Wheelers,OKINAWA,2894
01-Aug-21,2-Wheelers,AMPERE,810
01-Aug-21,2-Wheelers,ATHER,1613
01-Aug-21,2-Wheelers,PURE EV,1094
01-Aug-21,2-Wheelers,TVS,651
01-Aug-21,2-Wheelers,REVOLT,853
01-Aug-21,2-Wheelers,BAJAJ,796
01-Aug-21,2-Wheelers,BEING,325
01-Aug-21,2-Wheelers,JITENDRA,208
01-Aug-21,2-Wheelers,OTHERS,1279
01-Aug-22,2-Wheelers,OLA ELECTRIC,3475
01-Aug-22,2-Wheelers,OKINAWA,8756
01-Aug-22,2-Wheelers,HERO ELECTRIC,9925
01-Aug-22,2-Wheelers,AMPERE,6771
01-Aug-22,2-Wheelers,TVS,6426
01-Aug-22,2-Wheelers,ATHER,5376
01-Aug-22,2-Wheelers,BAJAJ,2620
01-Aug-22,2-Wheelers,OKAYA EV,905
01-Aug-22,2-Wheelers,REVOLT,1662
01-Aug-22,2-Wheelers,PURE EV,880
01-Aug-22,2-Wheelers,BEING,1099
01-Aug-22,2-Wheelers,JITENDRA,653
01-Aug-22,2-Wheelers,OTHERS,3678
01-Aug-23,2-Wheelers,OLA ELECTRIC,18983
